cod_ine,n_paradas_emt,n_lineas_emt_unicas,n_bocas_metro,n_lineas_metro_unicas,n_comercios,n_monumentos,pct_area_turistica
4625015017,1,3,1,1,0,0,3.998842332920104
4625015018,1,1,0,0,2,0,6.303436765871527
4625015019,3,2,0,0,0,0,5.180683854461412
4625015020,3,3,0,0,0,0,6.7416667186907056
4625015021,3,2,0,0,5,0,4.966832768174512
4625015022,1,1,0,0,1,0,0.0
4625015023,0,0,0,0,3,0,0.0
4625015024,3,4,0,0,4,0,0.0
4625015025,1,2,0,0,4,0,0.0
4625015026,2,2,0,0,0,0,0.0
4625015027,3,4,0,0,1,0,0.0
4625015028,1,1,0,0,0,0,0.0
4625015029,1,1,2,2,7,0,7.607713034846738
4625015030,0,0,0,0,2,0,4.981921397230176
4625015031,1,2,0,0,0,0,21.284114269200856
4625015032,1,1,0,0,0,0,0.0
4625015033,0,0,0,0,0,1,44.28972945268008
4625015034,1,2,0,0,1,0,5.537597957132924
4625015035,0,0,0,0,0,0,5.140884320245237
4625015036,0,0,0,0,0,0,0.0
4625015037,2,2,0,0,5,0,19.60315325816689
4625015038,2,1,1,1,4,0,0.6903139591077273
4625015039,0,0,0,0,0,0,4.373760608871619
4625015040,3,2,0,0,3,0,3.564985606357208
4625016001,1,1,1,1,5,0,0.0
4625016002,0,0,0,0,1,0,0.0
4625016003,1,1,0,0,3,0,0.0
4625016004,1,1,1,1,0,0,0.0
4625016005,0,0,0,0,4,0,0.0
4625016006,2,3,0,0,0,0,0.0
4625016008,0,0,0,0,0,0,0.0
4625016009,0,0,0,0,0,0,0.0
4625016010,3,5,2,1,1,0,0.0
4625016011,0,0,0,0,0,0,0.0
4625016012,1,2,0,0,4,0,0.0
4625016013,2,2,0,0,2,0,0.0
4625016014,1,2,0,0,1,0,0.0
4625016015,0,0,0,0,2,0,6.121871587190271
4625016016,1,1,0,0,1,0,0.0
4625016017,3,3,0,0,4,0,24.24575490293361
4625016018,1,2,0,0,0,0,0.0
4625016019,2,3,0,0,11,0,0.0
4625016020,1,1,0,0,0,0,0.0
4625016021,2,3,0,0,2,0,44.25735979571257
4625016022,1,3,0,0,0,0,0.0
4625016023,2,3,0,0,1,0,0.0943102438563873
4625016024,2,2,0,0,2,0,4.939116528819191
4625016025,0,0,0,0,1,1,0.0
4625016026,0,0,0,0,2,0,1.1123853143530569
4625016027,1,1,0,0,11,0,4.189497116955288
4625016028,2,5,0,0,3,0,17.32513061606655
4625016029,1,1,0,0,0,0,0.0
4625016030,6,3,0,0,1,0,3.3057216161112866
4625016031,2,4,1,1,27,0,2.962712225121661
4625016032,1,1,0,0,1,0,6.626803990420063
4625016033,1,1,0,0,4,0,9.891169491258518
4625017001,13,2,0,0,4,0,0.0040769439340239
4625017002,12,3,0,0,1,1,0.0
4625017003,6,1,0,0,0,1,0.0626861675907402
4625017006,0,0,1,1,0,0,0.5239416829461877
4625017007,3,1,0,0,1,1,0.2522583213245461
4625017008,0,0,0,0,0,0,1.884223765688611
4625018001,1,2,0,0,1,0,4.707143758626291
4625018002,0,0,0,0,3,0,0.0
4625018003,1,1,0,0,3,0,0.0
4625018004,8,3,1,1,10,2,4.561296371983737
4625018005,2,1,0,0,7,0,23.257088336013528
4625018006,1,2,1,1,11,0,14.920243982410115
4625018007,9,1,1,1,4,1,1.2633991751232836
4625018008,1,2,1,1,5,0,5.915729544404859
4625018009,0,0,0,0,0,0,0.0
4625018010,0,0,0,0,1,0,9.51798468247206
4625019001,3,2,0,0,1,1,0.0
4625019002,1,1,0,0,0,0,0.0
4625019003,4,1,0,0,3,0,0.0
4625019004,2,1,0,0,5,1,0.0
4625019005,15,1,0,0,0,0,0.1903934553587397
4625019006,4,4,0,0,7,1,0.6042106121715143
4625019007,6,4,0,0,12,0,0.0641943113380428
4625019008,11,2,0,0,12,1,0.1396670271227192
4625019009,8,2,0,0,28,1,0.0016894815992345
4625019011,2,3,0,0,5,1,0.0
4625019012,1,3,1,3,6,0,0.0432853409432493
4625019013,2,3,0,0,1,0,0.0
4625019014,2,3,0,0,3,0,1.3209586915712603
4625019015,3,1,0,0,2,0,0.8781754316766569
4625019016,17,1,0,0,3,0,0.004049869911109
