cod_ine,id_candidato,dist_m
4625001002.0,J2E_0492,1486.81
4625001002.0,J2E_0344,1492.19
4625001002.0,J2V_0299,1492.19
4625001003.0,J2E_0226,70.97
4625001003.0,J1_0000,95.41
4625001003.0,J0_12,125.61
4625001003.0,J2E_0144,126.75
4625001003.0,J2E_0213,136.66
4625001003.0,J1_0061,159.71
4625001003.0,J1_0003,176.28
4625001003.0,J2E_0316,176.28
4625001003.0,J2E_0548,179.31
4625001003.0,J2E_0503,180.1
4625001003.0,J2E_0044,189.16
4625001003.0,J2E_0214,200.05
4625001003.0,J2E_0322,201.58
4625001003.0,J2E_0043,203.26
4625001003.0,J2E_0569,206.76
4625001003.0,J2E_0235,207.03
4625001003.0,J2E_0230,208.12
4625001003.0,J2E_0564,208.12
4625001003.0,J2E_0215,237.21
4625001003.0,J2E_0329,242.82
4625001003.0,J2E_0049,245.87
4625001003.0,J2E_0523,249.25
4625001003.0,J2E_0046,257.4
4625001003.0,J2E_0314,257.4
4625001003.0,J2V_0230,270.79
4625001003.0,J2E_0231,272.75
4625001003.0,J2E_0101,282.32
4625001003.0,J2E_0779,282.32
4625001003.0,J1_0062,284.65
4625001003.0,J2E_0560,284.65
4625001003.0,J2E_0547,286.54
4625001003.0,J2E_0219,288.96
4625001003.0,J2E_0100,293.2
4625001003.0,J1_0012,295.58
4625001003.0,J2E_0003,298.66
4625001003.0,J2E_0520,311.76
4625001003.0,J2E_0216,320.74
4625001003.0,J2E_0325,321.45
4625001003.0,J2E_0321,324.05
4625001003.0,J1_0051,330.17
4625001003.0,J2E_0343,333.2
4625001003.0,J2E_0182,333.79
4625001003.0,J2E_0217,334.4
4625001003.0,J2E_0220,342.36
4625001003.0,J2E_0367,343.2
4625001003.0,J2E_0782,363.73
4625001003.0,J2E_0154,365.44
4625001003.0,J2V_0235,369.98
4625001003.0,J2E_0045,379.06
4625001003.0,J1_0006,379.82
4625001003.0,J2E_0565,386.77
4625001003.0,J2E_0319,396.48
4625001003.0,J1_0004,401.42
4625001003.0,J2E_0334,401.42
4625001003.0,J2E_0724,403.1
4625001003.0,J2E_0551,407.13
4625001003.0,J2E_0106,433.41
4625001003.0,J1_0016,457.52
4625001003.0,J2E_0501,464.92
4625001003.0,J1_0064,468.74
4625001003.0,J2E_0543,471.9
4625001003.0,J2E_0323,473.84
4625001003.0,J2E_0052,484.96
4625001003.0,J2E_0108,491.2
4625001003.0,J2E_0572,493.24
4625001003.0,J2E_0624,494.79
4625001003.0,J1_0018,494.8
4625001003.0,J2E_0240,499.99
4625001003.0,J2E_0546,506.26
4625001003.0,J2E_0104,508.9
4625001003.0,J2E_0061,523.57
4625001003.0,J2E_0221,527.61
4625001003.0,J2E_0105,527.81
4625001003.0,J2E_0085,527.87
4625001003.0,J2E_0183,533.46
4625001003.0,J2E_0229,542.55
4625001003.0,J2E_0102,544.29
4625001003.0,J2E_0041,552.52
4625001003.0,J2E_0175,559.22
4625001003.0,J2E_0048,562.96
4625001003.0,J2E_0098,568.09
4625001003.0,J2E_0179,568.87
4625001003.0,J1_0091,573.52
4625001003.0,J2E_0189,578.95
4625001003.0,J2V_0210,581.95
4625001003.0,J2E_0544,583.02
4625001003.0,J2E_0447,585.3
4625001003.0,J2E_0103,596.9
4625001003.0,J2E_0783,596.9
4625001003.0,J2E_0784,596.9
4625001003.0,J2E_0163,602.54
4625001003.0,J2E_0542,603.79
4625001003.0,J2E_0212,604.24
4625001003.0,J2E_0621,604.24
4625001003.0,J2E_0097,604.5
4625001003.0,J2E_0623,610.53
4625001003.0,J2E_0541,610.89
4625001003.0,J1_0009,619.25
4625001003.0,J2E_0315,619.25
4625001003.0,J2E_0540,619.25
4625001003.0,J1_0118,628.73
4625001003.0,J2E_0042,631.27
4625001003.0,J1_0045,631.75
4625001003.0,J1_0056,631.75
4625001003.0,J2E_0050,631.75
4625001003.0,J2E_0168,636.11
4625001003.0,J2E_0186,636.96
4625001003.0,J2E_0211,636.96
4625001003.0,J1_0046,638.89
4625001003.0,J2E_0324,638.89
4625001003.0,J2E_0207,652.55
4625001003.0,J2E_0625,652.55
4625001003.0,J2E_0096,658.59
4625001003.0,J2E_0008,658.75
