cod_ine,coddistrit,pct_65mas_norm,renta_pc_norm,suhi_ref_norm,ndvi_ref_norm,HVI,HVI_quintil
4625006016,06,0.537126,0.38013,0.756766,0.891706,0.641432,Q2 bajo
4625006017,06,0.555674,0.389001,0.792598,0.785898,0.630793,Q2 bajo
4625006018,06,0.597996,0.174614,0.57477,0.516059,0.46586,Q1 muy bajo
4625006019,06,0.467501,0.397009,0.718276,0.811902,0.598672,Q1 muy bajo
4625006021,06,0.587707,0.357501,0.765424,0.773466,0.621024,Q1 muy bajo
4625006022,06,0.585999,0.447583,0.794482,0.808257,0.65908,Q2 bajo
4625006023,06,0.564174,0.524506,0.750491,0.630617,0.617447,Q1 muy bajo
4625006024,06,0.507244,0.517727,0.743888,0.634492,0.600838,Q1 muy bajo
4625006026,06,0.504428,0.509553,0.696459,0.662107,0.593137,Q1 muy bajo
4625006027,06,0.473149,0.535837,0.711741,0.708994,0.60743,Q1 muy bajo
4625007001,07,0.487469,0.76521,0.877715,0.915106,0.761375,Q5 muy alto
4625007002,07,0.387474,0.810267,0.893799,0.936924,0.757116,Q5 muy alto
4625007003,07,0.498984,0.675793,0.757752,0.478736,0.602816,Q1 muy bajo
4625007004,07,0.471217,0.869347,0.88262,0.863376,0.77164,Q5 muy alto
4625007005,07,0.309373,0.781093,0.863056,0.808847,0.690592,Q3 medio
4625007006,07,0.388344,0.843761,0.873434,0.946464,0.763001,Q5 muy alto
4625007007,07,0.506309,0.757235,0.917438,0.950584,0.782892,Q5 muy alto
4625007008,07,0.528214,0.704901,0.835369,0.953643,0.755532,Q5 muy alto
4625007009,07,0.465744,0.783519,0.868721,0.932402,0.762596,Q5 muy alto
4625007010,07,0.423398,0.799934,0.746957,0.58154,0.637957,Q2 bajo
4625007012,07,0.385956,0.775876,0.835033,0.841384,0.709562,Q4 alto
4625007013,07,0.379683,0.724074,0.830738,0.879373,0.703467,Q3 medio
4625007014,07,0.471955,0.846553,0.820505,0.897818,0.759208,Q5 muy alto
4625007015,07,0.322057,0.809271,0.82519,0.903403,0.71498,Q4 alto
4625007016,07,0.548665,0.747267,0.867769,0.873367,0.759267,Q5 muy alto
4625007017,07,0.454849,0.752384,0.867413,0.88506,0.739926,Q5 muy alto
4625007018,07,0.539039,0.76202,0.909958,0.859407,0.767606,Q5 muy alto
4625007019,07,0.422579,0.709487,0.860364,0.815351,0.701945,Q3 medio
4625007020,07,0.533194,0.669978,0.861584,0.861318,0.731518,Q4 alto
4625007021,07,0.457961,0.765277,0.864488,0.7259,0.703406,Q3 medio
4625007022,07,0.537439,0.764014,0.805757,0.671642,0.694713,Q3 medio
4625007023,07,0.640215,0.799934,0.844212,0.626944,0.727826,Q4 alto
4625007024,07,0.313361,0.816647,0.836938,0.824004,0.697738,Q3 medio
4625007025,07,0.539977,0.835953,0.771466,0.572752,0.680037,Q3 medio
4625007026,07,0.242777,0.910749,0.831074,0.650197,0.658699,Q2 bajo
4625007027,07,0.264745,0.925935,0.832739,0.693703,0.67928,Q3 medio
4625007030,07,0.258937,0.907593,0.826697,0.648547,0.660444,Q2 bajo
4625007031,07,0.590944,0.8525,0.849836,0.808175,0.775364,Q5 muy alto
4625007032,07,0.930323,0.667586,0.793893,0.557061,0.737216,Q4 alto
4625007036,07,0.345836,0.911148,0.735559,0.566791,0.639834,Q2 bajo
4625007037,07,0.325272,0.920253,0.810956,0.641341,0.674456,Q2 bajo
4625007039,07,0.587885,0.723775,0.782159,0.676578,0.692599,Q3 medio
4625007040,07,0.611028,0.754876,0.727339,0.622584,0.678957,Q3 medio
4625007041,07,0.516357,0.794551,0.924877,0.85888,0.773666,Q5 muy alto
4625007042,07,0.386183,0.726732,0.801989,0.637969,0.638218,Q2 bajo
4625008001,08,0.456967,0.734175,0.780268,0.855679,0.706772,Q3 medio
4625008002,08,0.668694,0.662735,0.867454,0.928025,0.781727,Q5 muy alto
4625008003,08,0.525646,0.646852,0.846493,0.801013,0.705001,Q3 medio
4625008004,08,0.440453,0.697026,0.794406,0.856066,0.696988,Q3 medio
4625008006,08,0.635648,0.60525,0.809154,0.869641,0.729923,Q4 alto
4625008007,08,0.536703,0.611497,0.926418,0.83356,0.727044,Q4 alto
4625008008,08,0.511838,0.710915,0.850398,0.853649,0.7317,Q4 alto
4625008009,08,0.427599,0.680545,0.837801,0.782166,0.682028,Q3 medio
4625008010,08,0.259196,0.742416,0.843164,0.817456,0.665558,Q2 bajo
4625008012,08,0.61126,0.742615,0.74345,0.558482,0.663952,Q2 bajo
4625008013,08,0.528627,0.646553,0.825437,0.816152,0.704192,Q3 medio
4625008014,08,0.581623,0.689915,0.819785,0.805553,0.724219,Q4 alto
4625008015,08,0.469449,0.73052,0.865159,0.828143,0.723318,Q4 alto
4625008016,08,0.291089,0.76933,0.817497,0.716435,0.648588,Q2 bajo
4625008017,08,0.49634,0.788769,0.813661,0.810289,0.727265,Q4 alto
4625008018,08,0.431299,0.649443,0.804777,0.707806,0.648331,Q2 bajo
4625008019,08,0.303582,0.657285,0.744148,0.660835,0.591462,Q1 muy bajo
4625008020,08,0.281525,0.724572,0.815764,0.79195,0.653453,Q2 bajo
4625008021,08,0.413761,0.799003,0.837225,0.689769,0.68494,Q3 medio
4625008022,08,0.617504,0.726931,0.852884,0.788975,0.746574,Q5 muy alto
4625008023,08,0.564061,0.780694,0.768657,0.86041,0.743456,Q5 muy alto
4625008024,08,0.416044,0.670709,0.901601,0.807783,0.699034,Q3 medio
4625008025,08,0.553201,0.806779,0.761246,0.51292,0.658537,Q2 bajo
4625008026,08,0.734229,0.730454,0.86594,0.785227,0.778962,Q5 muy alto
4625008027,08,0.310187,0.653796,0.775583,0.650798,0.597591,Q1 muy bajo
4625008028,08,0.684995,0.699485,0.747053,0.60123,0.683191,Q3 medio
4625008029,08,0.316927,0.659345,0.705529,0.64476,0.58164,Q1 muy bajo
4625008030,08,0.417682,0.676358,0.754971,0.675466,0.631119,Q2 bajo
4625008031,08,0.357685,0.715468,0.862001,0.836978,0.693033,Q3 medio
4625008032,08,0.365155,0.782289,0.889387,0.645786,0.670654,Q2 bajo
4625008033,08,0.659758,0.618408,0.898779,0.954292,0.782809,Q5 muy alto
4625008034,08,0.414047,0.74308,0.751834,0.726111,0.658768,Q2 bajo
4625008035,08,0.275801,0.759495,0.720071,0.596964,0.588083,Q1 muy bajo
4625008036,08,0.883563,0.690181,0.806736,0.775767,0.789062,Q5 muy alto
4625008037,08,0.733833,0.68955,0.786221,0.69017,0.724944,Q4 alto
4625008038,08,0.576934,0.646885,0.728955,0.504839,0.614403,Q1 muy bajo
4625008039,08,0.547671,0.800997,0.884675,0.74379,0.744283,Q5 muy alto
4625008040,08,0.446225,0.705433,0.871927,0.834355,0.714485,Q4 alto
