cod_ine,pct_65mas_2023,pct_65mas_2024,pct_65mas_2025
4625016009,13.7302,13.9535,14.0416
4625016010,20.075,19.8063,20.5373
4625016011,18.4903,18.4049,18.9098
4625016012,17.549,17.4213,16.9202
4625016013,21.1596,20.2174,18.8912
4625016014,23.3358,24.4735,25.8595
4625016015,30.3318,31.4661,31.7406
4625016016,30.9682,32.5843,33.1081
4625016017,12.8898,13.9186,15.2311
4625016018,25.9429,25.9465,26.97
4625016019,9.6904,9.7467,10.0682
4625016020,22.8378,21.3512,20.6262
4625016021,24.441,23.845,22.9651
4625016022,19.7697,19.6597,18.6813
4625016023,16.0171,15.8607,15.7499
4625016024,27.8279,28.7068,26.7919
4625016025,20.6761,21.7671,21.753
4625016026,25.6959,25.8571,25.5717
4625016027,26.1745,26.9173,26.8601
4625016028,23.8938,25.2518,26.6567
4625016029,5.0383,5.0459,5.754
4625016030,10.7017,10.6061,10.9118
4625016031,21.3093,21.2101,21.1232
4625016032,6.14,6.6069,6.6284
4625016033,8.8076,7.9164,7.8961
4625017001,23.1481,22.6862,22.3657
4625017002,20.9607,19.3922,17.7507
4625017003,27.4493,27.1973,27.1173
4625017006,16.2214,15.8754,24.0686
4625017007,23.1081,23.6806,23.4519
4625017008,22.177519999999998,21.76634,9.5588
4625018001,20.1725,21.032,21.1987
4625018002,20.019,20.6349,20.8672
4625018003,25.1784,25.4726,25.9858
4625018004,19.1833,19.226,20.0904
4625018005,20.1326,19.761,19.4316
4625018006,20.558,19.0767,18.1818
4625018007,14.1197,14.2857,14.4081
4625018008,19.1767,19.9,19.7073
4625018009,20.5559,20.6832,21.1679
4625018010,17.5048,17.8095,18.9189
4625019001,21.8989,20.8702,20.5669
4625019002,26.0,25.802,24.7694
4625019003,20.7317,20.5813,20.6778
4625019004,23.4991,23.2306,22.9535
4625019005,21.8972,22.5289,23.4099
4625019006,21.7949,22.4875,22.1922
4625019007,28.3019,27.8431,27.5649
4625019008,19.7763,19.8892,19.3611
4625019009,29.9465,28.9333,27.5362
4625019011,16.6496,15.8922,15.4784
4625019012,10.2157,10.6975,10.1317
4625019013,21.9889,22.2492,23.1672
4625019014,27.0408,27.0184,26.4524
4625019015,26.9809,27.1055,26.5811
4625019016,20.095,20.7697,20.3646
